+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e31488 size=0x00000018       [0x00001104] (.\src\api\api_savegame.cpp:29, SPWAW_savegame_new, 24 bytes)
+++ ptr=0x01e37c98 size=0x00000258       [0x00001104] (.\src\api\api_savegame.cpp:34, SPWAW_savegame_new, 600 bytes)
+++ ptr=0x01e37f20 size=0x00002bf8       [0x00001104] (.\src\api\api_savegame.cpp:94, SPWAW_savegame_load, 11256 bytes)
+++ ptr=0x01e314d0 size=0x00000014       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 20 bytes)
+++ ptr=0x002d0068 size=0x00032640       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 206400 bytes)
+++ ptr=0x003026d8 size=0x0000bb80       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 48000 bytes)
+++ ptr=0x0030e288 size=0x0000bb80       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 48000 bytes)
+++ ptr=0x00319e38 size=0x0000bb80       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 48000 bytes)
+++ ptr=0x003259e8 size=0x0000bb80       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 48000 bytes)
+++ ptr=0x00331598 size=0x0000bb80       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 48000 bytes)
+++ ptr=0x0033d148 size=0x0000bb80       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 48000 bytes)
+++ ptr=0x00348cf8 size=0x00075300       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 480000 bytes)
+++ ptr=0x02090068 size=0x0002ee00       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 192000 bytes)
+++ ptr=0x01e31510 size=0x00000004       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 4 bytes)
+++ ptr=0x00420040 size=0x0009c400       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 640000 bytes)
+++ ptr=0x020bee98 size=0x00000002       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x020beec8 size=0x00000004       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 4 bytes)
+++ ptr=0x020beef8 size=0x00000004       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 4 bytes)
+++ ptr=0x020bef28 size=0x00000002       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x020bef58 size=0x00000001       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 1 bytes)
+++ ptr=0x020bef88 size=0x0001a5e0       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 108000 bytes)
+++ ptr=0x003be028 size=0x00003e80       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 16000 bytes)
+++ ptr=0x01e3ab48 size=0x00000190       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 400 bytes)
+++ ptr=0x003c1ed8 size=0x00000001       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 1 bytes)
+++ ptr=0x003c1f08 size=0x00000001       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 1 bytes)
+++ ptr=0x003c1f38 size=0x00000002       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x020d9598 size=0x00001388       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 5000 bytes)
+++ ptr=0x01e3ad08 size=0x00001900       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 6400 bytes)
+++ ptr=0x020da950 size=0x00000640       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 1600 bytes)
+++ ptr=0x020dafc0 size=0x00000004       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 4 bytes)
+++ ptr=0x003c1f68 size=0x00000002       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x020daff0 size=0x00052080       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 336000 bytes)
+++ ptr=0x003c1f98 size=0x00005dc0       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 24000 bytes)
+++ ptr=0x003c7d88 size=0x00000064       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 100 bytes)
+++ ptr=0x003c7e18 size=0x00000064       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 100 bytes)
+++ ptr=0x0212d0a0 size=0x0000037c       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 892 bytes)
+++ ptr=0x003c7ea8 size=0x0000001c       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 28 bytes)
+++ ptr=0x003c7ef0 size=0x00006400       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 25600 bytes)
+++ ptr=0x0212d448 size=0x000047e0       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 18400 bytes)
+++ ptr=0x02131c58 size=0x00000690       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 1680 bytes)
