+++ ptr=0x01f6e288 size=0x0000bb80       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 48000 bytes)
+++ ptr=0x01f79e38 size=0x0000bb80       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 48000 bytes)
+++ ptr=0x01f859e8 size=0x0000bb80       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 48000 bytes)
+++ ptr=0x01f91598 size=0x0000bb80       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 48000 bytes)
+++ ptr=0x01f9d148 size=0x0000bb80       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 48000 bytes)
+++ ptr=0x01fa8cf8 size=0x00075300       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 480000 bytes)
+++ ptr=0x02030068 size=0x0002ee00       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 192000 bytes)
+++ ptr=0x002e14d8 size=0x00000004       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 4 bytes)
+++ ptr=0x02230040 size=0x0009c400       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 640000 bytes)
+++ ptr=0x002e1508 size=0x00000002       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x0205ee98 size=0x00000004       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 4 bytes)
+++ ptr=0x0205eec8 size=0x00000004       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 4 bytes)
+++ ptr=0x0205eef8 size=0x00000002       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x0205ef28 size=0x00000001       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 1 bytes)
+++ ptr=0x0205ef58 size=0x0001a5e0       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 108000 bytes)
+++ ptr=0x0201e028 size=0x00003e80       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 16000 bytes)
+++ ptr=0x002eab60 size=0x00000190       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 400 bytes)
+++ ptr=0x02021ed8 size=0x00000001       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 1 bytes)
+++ ptr=0x02021f08 size=0x00000001       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 1 bytes)
+++ ptr=0x02021f38 size=0x00000002       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x02079568 size=0x00001388       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 5000 bytes)
+++ ptr=0x002ead20 size=0x00001900       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 6400 bytes)
+++ ptr=0x0207a920 size=0x00000640       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 1600 bytes)
+++ ptr=0x0207af90 size=0x00000004       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 4 bytes)
+++ ptr=0x0207afc0 size=0x00000002       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x0207aff0 size=0x00052080       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 336000 bytes)
+++ ptr=0x02021f68 size=0x00005dc0       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 24000 bytes)
+++ ptr=0x02027d58 size=0x00000064       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 100 bytes)
+++ ptr=0x02027de8 size=0x00000064       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 100 bytes)
+++ ptr=0x020cd0a0 size=0x0000037c       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 892 bytes)
+++ ptr=0x02027e78 size=0x0000001c       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 28 bytes)
+++ ptr=0x02027ec0 size=0x00006400       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 25600 bytes)
+++ ptr=0x020cd448 size=0x000047e0       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 18400 bytes)
+++ ptr=0x020d1c58 size=0x00000690       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 1680 bytes)
+++ ptr=0x020d2318 size=0x000004fc       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 1276 bytes)
+++ ptr=0x020d2840 size=0x00000004       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 4 bytes)
+++ ptr=0x020d2870 size=0x00000004       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 4 bytes)
+++ ptr=0x020d28a0 size=0x00000078       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 120 bytes)
+++ ptr=0x020d2948 size=0x000000c8       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 200 bytes)
+++ ptr=0x020d2a40 size=0x00000002       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x020d2a70 size=0x00000002       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x020d2aa0 size=0x00002580       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 9600 bytes)
